LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2151204467749379e+00 4.6215120446773646e+01 xlo xhi
-1.2274788693491190e+00 4.6227478869350719e+01 ylo yhi
-1.2226176983633918e+00 4.6222617698364239e+01 zlo zhi

Atoms
id type x y z
4265 1 -0.0370006 13.9006 21.6252 
3539 1 -0.00487058 12.1378 19.8141 
3540 1 1.7504 12.1467 17.9967 
4269 1 3.53722 13.9353 21.6285 
3543 1 3.48609 12.1685 19.8027 
3589 1 -0.0194975 13.9299 18.017 
3590 1 1.73255 13.9424 19.8186 
3591 3 -0.0780313 15.6759 19.8299 
3592 1 1.71957 15.7204 17.99 
3593 1 3.4784 13.9358 17.9748 
3595 1 3.52696 15.7125 19.7736 
4216 1 1.76299 12.1473 21.624 
4943 1 -0.0877784 15.5811 27.0274 
4942 1 1.773 13.8965 27.0107 
4215 1 -0.014766 12.1237 23.4263 
4219 1 3.57137 12.1656 23.4469 
4266 4 1.75452 13.8835 23.4342 
4267 4 -0.0656879 15.6161 23.4384 
4271 4 3.5662 15.6416 23.447 
4947 4 3.59758 15.6249 27.0598 
4945 4 3.59826 13.908 25.249 
4891 4 -0.00850387 12.1633 27.0231 
4892 3 1.79138 12.1446 25.2326 
4944 4 1.73639 15.6172 25.2048 
4895 4 3.63205 12.1842 27.0507 
4941 3 -0.0516417 13.8616 25.2116 
6295 3 -0.0748622 15.6009 34.3175 
6297 4 3.68367 13.9302 32.5015 
6296 4 1.80249 15.5651 32.52 
5567 3 -0.018644 12.2754 30.6894 
5568 3 1.81554 12.2406 28.8558 
6293 4 -0.0399653 13.9045 32.5374 
5571 1 3.70031 12.2264 30.7096 
5617 3 -0.048585 13.8966 28.8393 
5618 1 1.83418 13.9013 30.6823 
5619 3 -0.0790653 15.526 30.6992 
5620 3 1.80197 15.5509 28.8639 
5621 4 3.6472 13.8875 28.8698 
5623 3 3.66429 15.6367 30.7077 
6294 3 1.80979 13.9366 34.3365 
6244 3 1.83782 12.2641 32.5233 
6299 3 3.67811 15.6125 34.2968 
6243 4 -0.0154288 12.2441 34.3509 
6247 4 3.67339 12.2878 34.3122 
6969 4 -0.053527 13.9378 36.1491 
6973 4 3.65863 13.953 36.1056 
6971 1 -0.10478 15.6357 37.9841 
7596 3 1.78279 12.2861 39.7607 
6970 1 1.7615 13.9488 37.9502 
6972 1 1.77573 15.6016 36.1366 
6975 3 3.65937 15.5451 37.9602 
7649 3 3.64367 13.9221 39.796 
7648 1 1.74933 15.5768 39.7946 
6919 1 -0.0402128 12.2291 37.938 
6920 1 1.80419 12.2633 36.1326 
7645 1 -0.0792361 13.9135 39.7527 
6923 1 3.63536 12.3359 37.9389 
8324 1 1.76072 15.6151 43.4109 
8327 3 3.63716 15.6053 45.2328 
7595 1 -0.0444662 12.2596 41.5634 
7599 1 3.67728 12.2557 41.6025 
7646 1 1.79072 13.917 41.6061 
7647 4 -0.0673986 15.6088 41.5594 
7651 1 3.61276 15.6012 41.6054 
8325 1 3.6446 13.9174 43.4277 
8322 1 1.80555 13.9241 45.2261 
8271 1 -0.0215393 12.2474 45.1992 
8272 1 1.80821 12.2509 43.4097 
8323 3 -0.0863051 15.6049 45.2602 
8275 1 3.67196 12.201 45.2099 
8321 1 -0.0507441 13.9325 43.405 
261 3 -0.10307 17.4719 -0.310542 
262 2 1.75493 17.4694 1.51361 
263 5 -0.119323 19.3458 1.51285 
264 3 1.70384 19.3425 -0.363319 
265 2 3.59916 17.5254 -0.345315 
267 5 3.5884 19.3194 1.52666 
313 5 -0.20358 21.2905 -0.351175 
314 5 1.69514 21.2949 1.55344 
317 5 3.59121 21.224 -0.325717 
937 5 -0.138786 17.4611 3.35085 
940 3 1.77854 19.3486 3.36223 
941 1 3.6383 17.5146 3.38355 
989 3 -0.177129 21.3063 3.30418 
993 5 3.68297 21.2794 3.33256 
938 5 1.76682 17.483 5.15985 
939 5 -0.160181 19.4292 5.12601 
943 3 3.6692 19.3485 5.10651 
990 5 1.7509 21.2963 5.09684 
1613 3 -0.136637 17.473 6.95354 
1614 5 1.69328 17.4881 8.88732 
1615 5 -0.157014 19.4333 8.84224 
1616 5 1.73995 19.4307 6.99561 
1617 5 3.65814 17.5051 7.00758 
1619 5 3.66111 19.4298 8.88607 
1665 3 -0.144662 21.3157 7.03331 
1666 3 1.74912 21.2942 8.83274 
1669 5 3.69502 21.2776 6.95685 
2968 3 1.66713 19.4352 14.3545 
3021 5 3.6466 21.3405 14.2896 
2290 5 1.68891 17.5193 12.4305 
2291 5 -0.197565 19.4209 12.462 
3018 5 1.69845 21.3234 16.1348 
3017 5 -0.223673 21.3133 14.3289 
2295 5 3.6021 19.4162 12.4952 
2971 5 3.59119 19.4171 16.1482 
2342 3 1.70802 21.2901 12.5078 
2969 5 3.54457 17.5209 14.337 
2965 5 -0.166115 17.5371 14.3544 
2966 1 1.69013 17.5233 16.1556 
2967 3 -0.2572 19.41 16.1387 
2289 3 -0.165843 17.5173 10.6814 
2345 5 3.66761 21.3199 10.7196 
2293 2 3.5994 17.5276 10.6652 
2341 5 -0.180669 21.328 10.6635 
2292 3 1.72043 19.4778 10.6512 
3641 5 -0.188437 17.5144 17.9757 
3642 3 1.71729 17.4673 19.8017 
3643 5 -0.196524 19.4104 19.8406 
3644 5 1.69368 19.4037 17.9731 
3645 3 3.52878 17.492 17.9867 
3647 5 3.54457 19.4421 19.8256 
3693 5 -0.239201 21.3126 17.9584 
3694 3 1.72303 21.3251 19.82 
3697 3 3.59562 21.3664 17.9574 
4317 5 -0.132634 17.499 21.6603 
4320 3 1.67737 19.4155 21.6306 
4321 5 3.57177 17.498 21.626 
4369 5 -0.212028 21.3216 21.6578 
4373 3 3.55869 21.3188 21.6334 
4318 3 1.70845 17.5231 23.4514 
4319 3 -0.156586 19.3774 23.4309 
4323 5 3.58989 19.4236 23.4152 
4370 5 1.69247 21.3036 23.485 
4993 5 -0.150256 17.4887 25.2231 
4994 5 1.73911 17.4624 27.0932 
4995 3 -0.205377 19.3316 27.0896 
4996 3 1.68018 19.3448 25.2753 
4997 5 3.58488 17.4956 25.2416 
4999 3 3.59764 19.3422 27.0833 
5045 5 -0.234854 21.2356 25.2679 
5046 5 1.67714 21.2468 27.0715 
5049 5 3.63812 21.2731 25.3025 
5669 5 -0.182326 17.3995 28.9067 
5670 5 1.77563 17.372 30.723 
5671 3 -0.185964 19.3016 30.7527 
5672 5 1.7214 19.356 28.9632 
5673 3 3.61635 17.4715 28.8933 
5675 3 3.66101 19.2736 30.7196 
5721 5 -0.194139 21.2393 28.9674 
5722 3 1.70405 21.3006 30.7321 
5725 5 3.62975 21.1987 28.9521 
6345 3 -0.132705 17.3858 32.4854 
6348 5 1.75383 19.3405 32.4867 
6349 1 3.68537 17.4354 32.528 
6397 5 -0.169272 21.2686 32.5147 
6401 5 3.6522 21.2278 32.462 
6346 5 1.76177 17.4087 34.2853 
6351 3 3.67068 19.3344 34.327 
6347 3 -0.145028 19.2983 34.2978 
6398 5 1.74675 21.3031 34.3506 
7753 3 3.57692 21.2443 39.8261 
7701 5 3.63674 17.3873 39.7622 
7749 5 -0.235998 21.2888 39.8125 
7021 2 -0.134639 17.4294 36.1151 
7022 5 1.69661 17.4234 37.987 
7023 3 -0.180317 19.3107 37.9834 
7024 5 1.74803 19.3417 36.1382 
7025 5 3.67418 17.4432 36.1768 
7027 3 3.62079 19.3865 38.0264 
7073 5 -0.188579 21.2752 36.1423 
7074 5 1.72544 21.2517 37.9717 
7077 3 3.61918 21.2088 36.1651 
7697 3 -0.125919 17.4401 39.8565 
7700 5 1.66479 19.3538 39.8382 
7698 3 1.71562 17.3679 41.5605 
7699 3 -0.209483 19.3452 41.6026 
7703 5 3.63952 19.3577 41.5444 
7750 3 1.69561 21.304 41.5991 
8373 5 -0.16386 17.4388 43.3575 
8374 5 1.72771 17.4499 45.3052 
8375 5 -0.222533 19.3689 45.2744 
8376 5 1.70964 19.3457 43.35 
8377 5 3.61275 17.4444 43.4102 
8379 3 3.60086 19.3334 45.2965 
8425 5 -0.245966 21.2548 43.3639 
8426 5 1.72522 21.2631 45.2294 
8429 5 3.58648 21.2836 43.3883 
315 3 -0.174584 23.203 1.61332 
316 5 1.70795 23.1952 -0.338588 
319 3 3.66723 23.1518 1.51483 
365 3 -0.178172 25.049 -0.331038 
366 5 1.71543 25.0477 1.51054 
367 5 -0.162698 27.0405 1.51347 
368 5 1.74073 26.9781 -0.355371 
369 5 3.61033 25.0779 -0.407649 
371 3 3.67832 27.0001 1.44805 
992 3 1.76228 23.1926 3.29597 
1041 3 -0.146024 25.0655 3.30409 
1044 5 1.80033 27.0473 3.28774 
1045 5 3.67539 25.0599 3.30387 
991 5 -0.140407 23.1822 5.09671 
995 3 3.67533 23.1808 5.13241 
