LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2530497314545641e+00 4.6253049731452897e+01 xlo xhi
-1.2551195373430890e+00 4.6255119537342502e+01 ylo yhi
-1.2485814740622672e+00 4.6248581474063855e+01 zlo zhi

Atoms
id type x y z
6189 2 -0.369583 6.87731 32.5977 
6192 5 1.54197 8.77026 32.5547 
6193 3 3.364 6.95301 32.5224 
5565 1 -0.395093 10.578 28.9299 
5566 2 1.51462 10.6376 30.7827 
5569 5 3.38133 10.5869 28.9142 
6139 1 -0.365845 5.09796 34.3516 
6143 5 3.3461 5.11533 34.3362 
6190 1 1.50651 6.92923 34.3649 
7597 1 3.30339 10.6004 39.8555 
7593 2 -0.346744 10.6393 39.853 
6921 3 3.35546 10.6051 36.1678 
6191 5 -0.37245 8.72349 34.3925 
6195 4 3.38341 8.77136 34.3907 
6815 1 -0.391874 5.15719 38.0311 
6816 5 1.42722 5.13011 36.1927 
6819 5 3.39227 5.09874 37.9555 
6865 3 -0.350684 6.95219 36.2194 
6866 1 1.42217 7.0398 37.9984 
6867 4 -0.371648 8.75517 38.0167 
6868 4 1.53381 8.71767 36.1872 
6869 2 3.39257 7.00713 36.2036 
6871 3 3.34486 8.79045 37.9831 
7492 5 1.45768 5.1167 39.7858 
7541 4 -0.342993 7.00694 39.8192 
7544 1 1.45259 8.80697 39.858 
7545 5 3.31267 7.03018 39.8116 
6917 5 -0.357679 10.6225 36.2071 
6918 5 1.53795 10.6119 38.0205 
7491 1 -0.294797 5.16942 41.594 
7495 1 3.26389 5.10837 41.6363 
7542 1 1.47237 7.00162 41.6146 
7543 4 -0.341577 8.82486 41.6202 
7547 1 3.2683 8.88676 41.6477 
8167 4 -0.286334 5.15385 45.4166 
8168 1 1.53787 5.159 43.4731 
8171 1 3.28167 5.16828 45.3924 
8217 5 -0.26999 6.98619 43.479 
8218 1 1.47144 6.94102 45.3872 
8219 4 -0.28815 8.83208 45.3351 
8220 2 1.48485 8.85634 43.422 
8221 2 3.19852 6.97346 43.4642 
8223 5 3.27039 8.8099 45.3507 
7594 1 1.46517 10.6493 41.6393 
889 3 3.30615 14.2139 3.33757 
158 2 1.46381 10.6469 1.48049 
159 2 -0.302326 12.4537 1.51111 
160 2 1.461 12.5278 -0.338433 
161 5 3.34609 10.7017 -0.289696 
163 1 3.31968 12.5042 1.51776 
209 1 -0.299706 14.3239 -0.315034 
210 3 1.51616 14.2341 1.51716 
211 2 -0.332796 16.0498 1.52426 
212 2 1.51334 16.043 -0.361664 
213 2 3.3353 14.2233 -0.389563 
215 5 3.37305 16.0895 1.46813 
833 3 -0.313732 10.6477 3.31729 
836 3 1.5305 12.4572 3.32963 
837 2 3.34555 10.6698 3.27328 
885 4 -0.266555 14.2231 3.30732 
888 5 1.56342 16.1099 3.3307 
834 3 1.52007 10.6812 5.1326 
835 4 -0.239642 12.3992 5.10253 
839 3 3.30683 12.4486 5.15617 
886 1 1.57287 14.2233 5.15158 
887 5 -0.286386 16.1418 5.11277 
891 4 3.32388 16.116 5.19167 
1567 4 3.30455 16.1072 8.74389 
1510 1 1.51425 10.6269 8.74582 
